year ,AUT,BEL,CZE,DNK,FIN,FRA,DEU,GRC,HUN,IRL,ITA,NLD,POL,PRT,SVK,ESP,SWE,GBR,EST,SVN,LVA
2000-Q1,2.652973241,2.553710218,3.698220767,5.456694057,5.451169251,5.029327731,4.249852375,5.600883529,5.580800089,10.09011122,3.289368257,3.469568477,19.60744597,3.152220071,-4.859258607,2.403172118,4.701797759,2.363334958,-16.19768659,3.16621683,1.119995864
2000-Q2,4.797853689,4.093467063,4.394094374,3.674031957,5.444424847,5.052304349,4.040428478,8.917512818,2.736280015,12.5324211,4.213998386,3.765713973,-1.984895659,-1.225009066,6.247449144,1.984556788,5.942020157,3.778812496,6.934520715,-0.295279078,3.264250818
2000-Q3,1.725964574,2.957430888,4.862732475,2.406894463,0.950910403,4.378277415,3.069778151,1.075688528,9.928364161,3.837752641,4.880337305,2.067849712,-3.002089357,0.459400382,10.30215133,1.548871779,4.393227518,3.567204591,8.44131356,6.869156197,0.128224534
2000-Q4,6.030323476,5.818493155,4.669582775,1.368090175,5.879256262,3.4992926,4.532681992,-2.571941935,10.15475395,7.781776795,1.673961858,5.694954704,14.10515304,3.201131665,19.92664736,2.01236882,-1.780510478,4.093937643,0.248716633,-2.234729952,4.75726879
2001-Q1,1.166978502,0.739365563,6.463094683,-0.519576078,-0.275046383,-0.407512142,-1.745789699,-3.875750853,-3.948294692,8.630071244,-1.837653339,-1.261654127,-9.865993301,-3.072768143,2.251188098,3.416683828,0.898256547,2.453722383,5.29411197,2.111275595,8.235862041
2001-Q2,-0.72960307,-0.40448341,-1.396517112,1.917868905,-2.156922157,-0.007873934,-0.261574699,9.916069941,1.705787273,-2.756634361,1.240818771,-0.572374379,-2.571023443,4.821769635,-1.969752126,1.689164851,-3.752573757,1.277989766,8.416607983,3.126737226,1.233258308
2001-Q3,-2.355091323,-2.40781481,1.915868783,-2.531608021,-0.91324739,-1.297829978,-1.918691824,-2.022124004,-2.162765999,3.838497245,-1.114705216,0.826640116,5.509587956,-1.967033839,2.284084694,0.357287234,-1.333392235,0.825154988,1.694194147,1.437825877,3.087923174
2001-Q4,1.581063353,-0.208788333,2.82628352,-0.380205375,1.632221976,-0.054969409,-1.160215007,-1.292722801,6.150644792,3.773814433,-1.72672682,-1.427052285,-6.088042066,0.851954089,-0.198123631,-0.740120301,-0.222035455,0.414620787,2.484385511,-0.532981192,17.03626526
2002-Q1,0.800012314,2.097933432,2.615117297,9.476603384,3.136426807,2.960988651,-4.581309936,-3.921321391,8.426096345,7.555062778,1.381984089,1.076643442,3.356289171,0.706577162,1.215254186,4.201212817,3.470600624,3.934462291,13.30269733,3.879201192,-11.35875341
2002-Q2,-0.190058978,-0.312438839,1.266864364,-2.012684586,4.350975838,1.279701707,1.566308284,4.939902058,1.11218047,0.462458829,-0.750074553,0.692205109,5.607728889,0.49332768,7.643140781,-0.286495881,-0.398127815,4.151945472,6.06892967,1.043822992,5.778559788
2002-Q3,-0.537866235,-0.417481177,1.358440026,1.73142072,0.73121277,1.317687385,1.437579544,1.016336127,2.250798247,1.869779917,0.548243961,1.138338412,1.232196054,-0.782930297,5.979611908,2.983252115,-1.637076254,0.352923542,-0.119615919,2.548901989,4.499249677
2002-Q4,1.865438954,1.532418836,3.594819729,0.644782625,-0.790591358,0.589685292,2.925522934,5.441516503,7.765345734,-7.065386258,4.894002918,0.296460627,3.077009773,-1.942943683,1.987454968,4.834424558,2.590022997,0.76543418,0.498292736,2.520471314,5.298715088
2003-Q1,2.481234292,2.019718507,3.610704559,-0.752049922,6.075346774,0.337116951,1.937077116,2.351542107,2.657690823,0.046451993,-0.912204078,1.413593122,0.908582832,-2.110957868,-2.075683433,-2.668915775,2.681944369,2.253801507,15.73594312,0.07443651,5.421874188
2003-Q2,-0.22803684,-0.788880252,3.704155077,-3.089436723,-0.564434338,-0.605251515,-1.01712776,2.226738269,4.159957637,1.458473934,-1.99817468,-0.716069137,-0.110426927,2.501844469,4.07640679,4.310422527,-0.528759715,0.612984508,3.915775271,5.091656241,1.076974888
2003-Q3,3.3093697,2.991653741,4.71179968,2.540296493,2.535882925,1.457309896,1.338132812,1.512140052,6.849096755,8.193898113,-0.725561919,-0.577615338,7.670467972,1.588784843,4.282170116,3.395103121,1.975098049,1.418160676,3.43816679,4.016334922,9.424804444
2003-Q4,0.88798234,1.757275722,6.81010622,5.218871805,1.880905699,1.99854581,3.308589512,4.246429258,3.68061513,4.22622524,1.493665705,2.277920165,7.044949907,2.772789302,0.380342873,4.160733577,2.601020772,3.263946522,4.199620787,-0.034932795,3.050838073
2004-Q1,2.12524971,1.79378831,1.470517437,0.937870091,5.392864339,1.315940922,1.414185951,1.22934861,-0.39152773,-4.789029097,2.865158059,1.206280672,-1.461531615,2.589465381,14.70021979,3.918944507,1.790571393,1.671345418,-0.94617558,2.422961068,9.429189059
