YEAR,AUS,BEL,BGR,CZE,DNK,FIN,FRA,GRC,HND,HUN,IRL,ITA,LTU,LVA,POL,PRT,SLV,SVK,SWE,ESP,DEU,ROU,GBR
2000q1,0.000,0.124,0.000,0.199,0.089,0.065,0.000,0.059,0.547,0.197,0.000,0.064,0.240,0.000,0.131,0.072,0.239,0.318,0.119,0.048,0.012,0.036,0.000
2000q2,0.270,0.000,0.059,0.177,0.744,0.000,0.071,0.067,0.000,0.237,0.165,0.061,0.060,0.210,0.213,0.000,0.452,0.061,0.074,0.033,0.003,0.032,0.000
2000q3,0.000,0.000,0.060,0.063,0.745,0.073,0.072,0.000,0.119,0.050,0.000,0.141,0.061,0.110,0.114,0.000,0.250,0.321,0.143,0.012,0.012,0.075,0.000
2000q4,0.085,0.000,0.130,0.393,0.393,0.000,0.143,0.000,0.000,0.062,0.000,0.126,0.000,0.065,0.000,0.074,0.000,0.254,0.000,0.002,0.019,0.094,0.000
2001q1,0.068,0.000,0.301,0.111,0.345,0.000,0.141,0.147,0.322,0.000,0.330,0.064,0.065,0.193,0.000,0.222,0.000,0.241,0.000,0.015,0.034,0.086,0.000
2001q2,0.000,0.075,0.302,0.188,0.171,0.073,0.000,0.189,0.194,0.115,0.112,0.123,0.198,0.140,0.000,0.148,0.337,0.332,0.069,0.061,0.028,0.047,0.000
2001q3,0.080,0.203,0.063,0.141,0.233,0.075,0.067,0.429,0.000,0.259,0.370,0.119,0.131,0.148,0.000,0.228,0.000,0.474,0.066,0.042,0.064,0.015,0.000
2001q4,0.307,0.143,0.000,0.314,0.000,0.079,0.258,0.470,0.000,0.000,0.685,0.188,0.000,0.146,0.000,0.453,0.272,0.536,0.428,0.056,0.055,0.029,0.000
2002q1,0.136,0.000,0.118,0.424,0.378,0.142,0.202,0.461,0.000,0.222,0.422,0.629,0.262,0.180,0.169,0.468,0.108,0.277,0.406,0.063,0.046,0.048,0.000
2002q2,0.000,0.000,0.054,0.395,0.000,0.183,0.612,0.316,0.000,0.000,0.510,0.551,0.509,0.381,0.000,0.534,0.467,0.000,0.000,0.092,0.105,0.035,0.000
2002q3,0.000,0.168,0.116,0.125,0.000,0.358,0.655,0.000,0.000,0.000,1.280,0.000,0.125,0.246,0.000,0.000,0.000,0.000,0.000,0.039,0.048,0.068,0.000
2002q4,0.061,0.136,0.162,0.000,0.120,0.000,0.236,0.061,0.000,0.000,0.000,0.123,0.000,0.056,0.224,0.000,0.000,0.121,0.516,0.067,0.035,0.030,0.083
