,GBR,EST,DNK,ESP,HUN,SVN,FIN,NLD,SVK,BEL,LVA,CZE,POL,DEU,LUX,PRT,ITA,AUT,IRL,SWE,FRA,GRC
2000-Q1,1.161303589,3.798033127,0.975099668,1.604993102,0.842356,1.183615186,2.982422893,0.62271,1.066027219,0.711111111,0.868947019,1.326017012,0.727396597,1.430528223,5.175644811,2.225468585,1.112893605,0.928251437,0.96452769,0.674590262,1.035587904,0.37966256
2000-Q2,0.654921704,2.504249328,1.138417342,1.258317872,1.076521498,1.315066592,0.770593242,1.116803,0.990384812,0.719574385,-0.268704708,0.954296686,1.102425244,0.809332948,-1.308913481,-0.528487831,0.816881619,0.794271966,2.619322579,2.523712705,1.03145608,0.921994078
2000-Q3,0.510036966,1.233840827,0.276238214,1.080112971,0.875857715,1.169864318,1.565924032,0.825163,0.606475955,0.463712377,3.103247555,1.298622324,0.321144409,-0.047224415,1.742455567,1.464864525,0.614603727,0.550462757,2.169841525,0.777714309,0.693970166,1.868409667
2000-Q4,0.429040478,2.249921227,0.977800167,1.018595501,1.868523106,0.826220858,1.063064683,1.299729479,0.567703919,0.977660399,-1.216758528,0.475647341,1.78774485,-0.295305313,0.587565665,0.669401591,1.501155012,1.280999037,1.060463135,-0.28280999,0.81807316,1.418925598
2001-Q1,0.856367003,1.442802672,-1.085721803,1.066791396,0.710119544,1.31564382,0.489247671,0.108520684,0.709737807,0.056388046,2.282768042,1.186158643,-0.324818696,2.02280698,1.631256881,-0.312683656,0.595756384,-0.216946573,1.582268617,0.330431602,0.492419651,1.237878102
2001-Q2,0.366006178,0.124261627,0.488181251,0.745368702,0.81552606,0.027669756,0.119503397,0.505669,1.05615975,0.017986043,4.589879881,0.231661784,-0.293647183,-0.046445592,-1.245687013,0.967446145,-0.350156186,-0.086548505,1.148295932,0.045859187,0.129152074,-0.263573867
2001-Q3,0.460117524,2.065121027,0.897826274,0.931995265,0.905258823,0.63325656,0.632169934,0.173788,0.382995008,-0.190617769,-2.147104819,0.431920505,0.480016084,-0.209109191,1.438634796,0.146341395,-0.31675082,0.050690869,-0.508008079,0.381806029,0.273136879,1.621616296
2001-Q4,0.162426854,1.467099435,-0.197216541,0.680507295,0.737236297,1.142194224,-0.281151844,0.322515,2.171433636,-0.09969491,3.295221436,0.740816546,0.013797992,-0.081492953,2.616537596,1.399039679,-0.199735202,0.35965286,1.903250918,0.833390439,-0.065668629,0.264898641
2002-Q1,0.347322027,0.696998635,-0.033566445,0.430755321,2.2648998,1.414785891,0.654199432,-0.610179989,0.315983609,0.859674646,-0.041796752,-0.196354374,0.673442492,-0.512640062,0.418170158,0.177808538,0.165912888,0.994321005,1.96295136,-0.131200452,0.563541318,0.817047668
2002-Q2,0.525863509,3.497039162,-0.009920153,0.821027301,0.553064587,-0.467655299,0.989145658,0.348263578,1.004966578,0.855923515,3.86528785,0.501471521,0.696751497,0.433303471,1.758029925,-0.463985813,0.362171875,0.540882975,0.462002987,1.558855922,0.407922174,2.238306787
