LOCATION,TIME,Value
DEU,2000-Q1,3.402726456
DEU,2000-Q2,4.239593704
DEU,2000-Q3,3.036496969
DEU,2000-Q4,1.901339929
DEU,2001-Q1,2.496367876
DEU,2001-Q2,1.62626796
DEU,2001-Q3,1.461672775
DEU,2001-Q4,1.679252897
DEU,2002-Q1,-0.847656219
DEU,2002-Q2,-0.371752743
DEU,2002-Q3,0.302678001
DEU,2002-Q4,0.256328501
DEU,2003-Q1,-0.717277303
DEU,2003-Q2,-1.040675899
DEU,2003-Q3,-0.745714633
DEU,2003-Q4,-0.33994105
DEU,2004-Q1,0.979021736
DEU,2004-Q2,1.390380548
DEU,2004-Q3,0.409287298
DEU,2004-Q4,0.035001868
DEU,2005-Q1,0.213179989
DEU,2005-Q2,0.235343816
DEU,2005-Q3,1.295595637
DEU,2005-Q4,1.867987207
DEU,2006-Q1,2.844154575
DEU,2006-Q2,4.057971796
DEU,2006-Q3,3.989424214
DEU,2006-Q4,5.069233939
DEU,2007-Q1,4.134105415
DEU,2007-Q2,3.228417933
DEU,2007-Q3,2.960191362
DEU,2007-Q4,2.077408729
DEU,2008-Q1,2.66654559
DEU,2008-Q2,1.565052917
DEU,2008-Q3,0.397312395
DEU,2008-Q4,-1.835047698
DEU,2009-Q1,-7.028663586
DEU,2009-Q2,-6.652650079
DEU,2009-Q3,-5.529560119
DEU,2009-Q4,-3.293268355
DEU,2010-Q1,2.283396812
DEU,2010-Q2,4.420073848
DEU,2010-Q3,4.689932893
DEU,2010-Q4,4.768083912
DEU,2011-Q1,5.93925147
DEU,2011-Q2,3.704222188
DEU,2011-Q3,3.771482477
DEU,2011-Q4,2.604052065
DEU,2012-Q1,0.862905379
DEU,2012-Q2,0.977722916
DEU,2012-Q3,0.375168609
DEU,2012-Q4,0.250925777
DEU,2013-Q1,-0.414724531
DEU,2013-Q2,0.439891694
DEU,2013-Q3,0.718979913
DEU,2013-Q4,1.462650998
DEU,2014-Q1,2.920383714
DEU,2014-Q2,1.832189168
DEU,2014-Q3,1.78074231
DEU,2014-Q4,2.31007945
DEU,2015-Q1,0.804188883
DEU,2015-Q2,1.547263222
DEU,2015-Q3,1.48879327
DEU,2015-Q4,1.115160562
DEU,2016-Q1,2.489167636
DEU,2016-Q2,2.190305049
DEU,2016-Q3,1.990878004
DEU,2016-Q4,1.91264489
DEU,2017-Q1,2.281000431
DEU,2017-Q2,2.692704845
DEU,2017-Q3,3.184849767
DEU,2017-Q4,3.748530941
DEU,2018-Q1,1.919385872
DEU,2018-Q2,1.779096704
DEU,2018-Q3,0.239433443
DEU,2018-Q4,0.124539175
DEU,2019-Q1,1.429591262
DEU,2019-Q2,0.546687404
DEU,2019-Q3,1.459185005
DEU,2019-Q4,0.922106651
LVA,2000-Q1,6.24563221
LVA,2000-Q2,7.643866401
LVA,2000-Q3,7.15386147
LVA,2000-Q4,2.453665647
LVA,2001-Q1,3.899412154
LVA,2001-Q2,8.951156884
LVA,2001-Q3,3.408506027
LVA,2001-Q4,8.126766741
LVA,2002-Q1,5.672154883
LVA,2002-Q2,4.94163081
LVA,2002-Q3,8.52922328
LVA,2002-Q4,9.297880726
LVA,2003-Q1,10.038771877
LVA,2003-Q2,8.496399427
LVA,2003-Q3,9.522874572
LVA,2003-Q4,6.61891733
LVA,2004-Q1,9.538339738
LVA,2004-Q2,8.361938514
LVA,2004-Q3,6.61310764
LVA,2004-Q4,7.725443414
LVA,2005-Q1,6.897852942
LVA,2005-Q2,7.958590909
LVA,2005-Q3,12.765463965
LVA,2005-Q4,14.366650588
LVA,2006-Q1,10.550061845
LVA,2006-Q2,13.455389471
LVA,2006-Q3,11.713495847
LVA,2006-Q4,12.479624095
LVA,2007-Q1,15.245259328
LVA,2007-Q2,12.021147037
LVA,2007-Q3,10.3702501
LVA,2007-Q4,4.434781241
LVA,2008-Q1,4.796879376
LVA,2008-Q2,-1.023477645
LVA,2008-Q3,-6.766892977
LVA,2008-Q4,-7.968004202
LVA,2009-Q1,-12.997335488
LVA,2009-Q2,-14.92018042
LVA,2009-Q3,-15.82736912
LVA,2009-Q4,-13.439288943
LVA,2010-Q1,-10.72864416
LVA,2010-Q2,-5.99515135
LVA,2010-Q3,-1.341925675
LVA,2010-Q4,-0.777246601
LVA,2011-Q1,-1.525549379
LVA,2011-Q2,2.629895648
LVA,2011-Q3,4.600390932
LVA,2011-Q4,3.815722057
LVA,2012-Q1,10.600877048
LVA,2012-Q2,6.327669723
LVA,2012-Q3,6.057577437
LVA,2012-Q4,6.386034285
LVA,2013-Q1,1.554803064
LVA,2013-Q2,2.061603162
LVA,2013-Q3,2.167046139
LVA,2013-Q4,2.535321378
LVA,2014-Q1,2.154365012
LVA,2014-Q2,2.732581913
LVA,2014-Q3,1.800744755
LVA,2014-Q4,1.451616165
LVA,2015-Q1,3.030049546
LVA,2015-Q2,4.016784826
LVA,2015-Q3,4.299790686
LVA,2015-Q4,3.612580681
LVA,2016-Q1,3.927675016
LVA,2016-Q2,1.531947653
LVA,2016-Q3,0.916232691
LVA,2016-Q4,2.303654797
LVA,2017-Q1,1.969535155
LVA,2017-Q2,3.772971733
LVA,2017-Q3,3.979870844
LVA,2017-Q4,3.484955671
LVA,2018-Q1,3.173224959
LVA,2018-Q2,3.931750547
LVA,2018-Q3,4.708241696
LVA,2018-Q4,4.968884337
LVA,2019-Q1,4.029006431
LVA,2019-Q2,2.995321319
LVA,2019-Q3,1.867425074
LVA,2019-Q4,1.26286681
CZE,2000-Q1,3.883609758
CZE,2000-Q2,4.394054816
CZE,2000-Q3,4.787302386
CZE,2000-Q4,4.11423943
CZE,2001-Q1,3.97053253
CZE,2001-Q2,3.226307291
CZE,2001-Q3,2.343112374
CZE,2001-Q4,2.613210078
CZE,2002-Q1,1.211199164
CZE,2002-Q2,1.48364568
CZE,2002-Q3,1.690923749
CZE,2002-Q4,1.612335762
CZE,2003-Q1,2.887060918
CZE,2003-Q2,3.45054584
CZE,2003-Q3,3.901196205
CZE,2003-Q4,4.056062392
